SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE
2684,CANBERRA,Acton,ACT,2601,149.118286,-35.285629
2685,CANBERRA,Ainslie,ACT,2602,149.146545,-35.262211
2686,CANBERRA,Amaroo,ACT,2914,149.126312,-35.169491
2687,CANBERRA,Aranda,ACT,2614,149.083313,-35.25843
2688,CANBERRA,Australian National University,ACT,2600,149.147598,-35.328339
2689,CANBERRA,Banks,ACT,2906,149.097687,-35.470501
2690,CANBERRA,Barton,ACT,2600,149.133499,-35.308498
2691,CANBERRA,Belconnen,ACT,2616,149.109375,-35.258774
2692,CANBERRA,Black Mountain,ACT,2601,149.097656,-35.274971
2693,CANBERRA,Bonner,ACT,2914,149.143845,-35.158482
2694,CANBERRA,Bonython,ACT,2905,149.0802,-35.430908
2695,CANBERRA,Braddon,ACT,2612,149.137665,-35.274872
2696,CANBERRA,Bruce,ACT,2617,149.092667,-35.245762
2697,CANBERRA,Calwell,ACT,2905,149.109238,-35.43795
2698,CANBERRA,Campbell,ACT,2612,149.158417,-35.295231
2699,CANBERRA,Canberra,ACT,2600,149.147598,-35.328339
2700,CANBERRA,Canberra Business Centre,ACT,2610,149.126465,-35.312298
2701,CANBERRA,Causeway,ACT,2604,149.150131,-35.317699
2702,CANBERRA,Causeway Lake,ACT,2604,149.095383,-35.455681
2703,CANBERRA,Chapman,ACT,2611,149.040787,-35.356159
2704,CANBERRA,Charnwood,ACT,2615,149.032349,-35.197979
2705,CANBERRA,Chifley,ACT,2606,149.07547,-35.352501
2706,CANBERRA,Chisholm,ACT,2905,149.123734,-35.41901
2707,CANBERRA,City Centre,ACT,2601,149.111809,-35.276855
2708,CANBERRA,Civic Square,ACT,2608,149.147598,-35.328339
2709,CANBERRA,Conder,ACT,2906,149.097336,-35.45776
2710,CANBERRA,Cook,ACT,2614,149.06517,-35.261021
2711,CANBERRA,Curtin,ACT,2605,149.081299,-35.324162
2712,CANBERRA,Deakin,ACT,2600,149.108429,-35.314781
2713,CANBERRA,Deakin West,ACT,2600,149.091858,-35.326172
2714,CANBERRA,Dickson,ACT,2602,149.142944,-35.252102
2715,CANBERRA,Downer,ACT,2602,149.142853,-35.24464
2716,CANBERRA,Duffy,ACT,2611,149.031693,-35.336842
2717,CANBERRA,Dunlop,ACT,2615,149.020767,-35.189892
2718,CANBERRA,Duntroon,ACT,2600,149.161697,-35.303188
2719,CANBERRA,Erindale Centre,ACT,2903,149.097214,-35.403011
2720,CANBERRA,Evatt,ACT,2617,149.073166,-35.209141
2721,CANBERRA,Fadden,ACT,2904,149.11792,-35.405209
2722,CANBERRA,Farrer,ACT,2607,149.101593,-35.37598
2723,CANBERRA,Fisher,ACT,2611,149.055847,-35.361568
2724,CANBERRA,Florey,ACT,2615,149.055237,-35.22678
2725,CANBERRA,Flynn,ACT,2615,149.044968,-35.20541
2726,CANBERRA,Forde,ACT,2905,149.120056,-35.413864
2727,CANBERRA,Forrest,ACT,2603,149.126877,-35.315441
2728,CANBERRA,Fraser,ACT,2615,149.045547,-35.190899
2729,CANBERRA,Fyshwick,ACT,2609,149.176163,-35.32737
2730,CANBERRA,Garran,ACT,2605,149.108765,-35.341702
2731,CANBERRA,Gilmore,ACT,2905,149.135513,-35.41708
2732,CANBERRA,Ginninderra Village,ACT,2913,149.085159,-35.191818
2733,CANBERRA,Giralang,ACT,2617,149.099167,-35.216381
2734,CANBERRA,Gordon,ACT,2906,149.085449,-35.46563
2735,CANBERRA,Gowrie,ACT,2904,149.10672,-35.412579
2736,CANBERRA,Greenway,ACT,2900,149.068268,-35.41856
2737,CANBERRA,Griffith,ACT,2603,149.146088,-35.324841
2738,CANBERRA,Gungahlin,ACT,2912,149.136093,-35.185741
2739,CANBERRA,Hackett,ACT,2602,149.163223,-35.25145
2740,CANBERRA,Hall,ACT,2618,149.069885,-35.170231
2741,CANBERRA,Harman,ACT,2600,149.200012,-35.344589
2742,CANBERRA,Harrison,ACT,2914,149.161758,-35.194908
2743,CANBERRA,Hawker,ACT,2614,149.03331,-35.246948
2744,CANBERRA,Higgins,ACT,2615,149.027512,-35.233269
2745,CANBERRA,HMAS Creswell,ACT,2540,149.144379,-35.290844
2746,CANBERRA,Holder,ACT,2611,149.044861,-35.33651
2747,CANBERRA,Holt,ACT,2615,149.016754,-35.22464
2748,CANBERRA,Hughes,ACT,2605,149.09494,-35.332649
2749,CANBERRA,Hume,ACT,2620,149.162308,-35.392929
2750,CANBERRA,Isaacs,ACT,2607,149.111588,-35.37011
2751,CANBERRA,Isabella Plains,ACT,2905,149.091599,-35.426842
2752,CANBERRA,Jamison Centre,ACT,2614,149.07283,-35.252972
2753,CANBERRA,Jervis Bay,ACT,2540,150.699539,-35.13662
2754,CANBERRA,Kaleen,ACT,2617,149.102707,-35.219471
2755,CANBERRA,Kambah,ACT,2902,149.051407,-35.381779
2756,CANBERRA,Kingston,ACT,2604,149.148224,-35.317509
2757,CANBERRA,Kippax,ACT,2615,149.018784,-35.222462
2758,CANBERRA,Kippax Centre,ACT,2615,149.018784,-35.222462
2759,CANBERRA,Latham,ACT,2615,149.031845,-35.21904
2760,CANBERRA,Lawson,ACT,2617,149.09668,-35.228909
2761,CANBERRA,Lyneham,ACT,2602,149.127106,-35.244362
2762,CANBERRA,Lyons,ACT,2606,149.075226,-35.342018
2763,CANBERRA,Macarthur,ACT,2904,149.132477,-35.408112
2764,CANBERRA,Macgregor,ACT,2615,149.018677,-35.210991
2765,CANBERRA,Macquarie,ACT,2614,149.062637,-35.249691
2766,CANBERRA,Manuka,ACT,2603,149.133728,-35.320202
2767,CANBERRA,Mawson,ACT,2607,149.095291,-35.364189
2768,CANBERRA,McKellar,ACT,2617,149.073776,-35.21748
2769,CANBERRA,Melba,ACT,2615,149.052597,-35.213741
2770,CANBERRA,Mitchell,ACT,2911,149.13472,-35.21949
2771,CANBERRA,Monash,ACT,2904,149.092255,-35.415161
2772,CANBERRA,Mount Stromlo,ACT,2611,149.006424,-35.322521
2773,CANBERRA,Narrabundah,ACT,2604,149.152374,-35.331242
2774,CANBERRA,Ngunnawal,ACT,2913,149.108032,-35.173161
2775,CANBERRA,Nicholls,ACT,2913,149.099167,-35.184181
2776,CANBERRA,O'Connor,ACT,2602,149.113144,-35.440525
2777,CANBERRA,O'Malley,ACT,2606,149.205261,-35.450409
2778,CANBERRA,Oxley,ACT,2903,149.082306,-35.408829
2779,CANBERRA,Page,ACT,2614,149.048431,-35.23959
2780,CANBERRA,Palmerston,ACT,2913,149.118362,-35.197601
2781,CANBERRA,Parkes,ACT,2600,149.129196,-35.302811
2782,CANBERRA,Parliament House,ACT,2600,149.126556,-35.306541
2783,CANBERRA,Pearce,ACT,2607,149.082047,-35.36282
2784,CANBERRA,Phillip,ACT,2606,149.091217,-35.35186
2785,CANBERRA,Pialligo,ACT,2609,149.179962,-35.302799
2786,CANBERRA,Red Hill,ACT,2603,149.126846,-35.33979
2787,CANBERRA,Reid,ACT,2612,149.141113,-35.282681
2788,CANBERRA,Richardson,ACT,2905,149.111053,-35.42704
2789,CANBERRA,Rivett,ACT,2611,149.036926,-35.34734
2790,CANBERRA,Russell,ACT,2600,149.150528,-35.298
2791,CANBERRA,Scullin,ACT,2614,149.040436,-35.233219
2792,CANBERRA,Spence,ACT,2615,149.06218,-35.199589
2793,CANBERRA,Stirling,ACT,2611,149.049515,-35.348969
2794,CANBERRA,Swinger hill,ACT,2606,149.097229,-35.35355
2795,CANBERRA,Symonston,ACT,2609,149.157211,-35.348042
2796,CANBERRA,Tharwa,ACT,2620,149.067673,-35.509029
2797,CANBERRA,Theodore,ACT,2905,149.124557,-35.447071
2798,CANBERRA,Torrens,ACT,2607,149.087891,-35.372471
2799,CANBERRA,Tuggeranong,ACT,2900,149.065796,-35.415161
2800,CANBERRA,Turner,ACT,2612,149.128006,-35.265888
2801,CANBERRA,University of Canberra,ACT,2617,149.085907,-35.239769
2802,CANBERRA,Uriarra,ACT,2611,149.11879,-35.302425
2803,CANBERRA,Wanniassa,ACT,2903,149.091354,-35.403149
2804,CANBERRA,Waramanga,ACT,2611,149.060074,-35.353901
2805,CANBERRA,Watson,ACT,2602,149.157303,-35.241322
2806,CANBERRA,Weetangera,ACT,2614,149.050674,-35.245609
2807,CANBERRA,Weston,ACT,2611,149.055695,-35.33675
2808,CANBERRA,Weston Creek,ACT,2611,149.033646,-35.297428
2809,CANBERRA,Woden,ACT,2606,149.087997,-35.343609
2810,CANBERRA,Yarralumla,ACT,2600,149.10672,-35.305901